England and Wales Code,England and Wales,Occupation code,Occupation,Disability  Code,Disabled?,Observation
K04000001,England and Wales,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,273744
K04000001,England and Wales,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,3262932
K04000001,England and Wales,2,2. Professional occupations,1,Disabled under the Equality Act,453737
K04000001,England and Wales,2,2. Professional occupations,2,Not disabled under the Equality Act,5129821
K04000001,England and Wales,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,341083
K04000001,England and Wales,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,3291911
K04000001,England and Wales,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,285654
K04000001,England and Wales,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,2279005
K04000001,England and Wales,5,5. Skilled trades occupations,1,Disabled under the Equality Act,235439
K04000001,England and Wales,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,2606291
K04000001,England and Wales,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,320159
K04000001,England and Wales,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,2266774
K04000001,England and Wales,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,258136
K04000001,England and Wales,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,1811743
K04000001,England and Wales,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,167393
K04000001,England and Wales,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,1767528
K04000001,England and Wales,9,9. Elementary occupations,1,Disabled under the Equality Act,301835
K04000001,England and Wales,9,9. Elementary occupations,2,Not disabled under the Equality Act,2581304
