Regions Code,Regions,"Managers, directors and senior officials", Professional occupations,Associate professional and technical occupations,Administrative and secretarial occupations,Skilled trades occupations,"Caring, leisure and other service occupations",Sales and customer service occupations,"Process, plant and machine operatives",Elementary occupations
E12000001,North East,112251,206561,137856,110948,120693,119623,106567,93747,124726
E12000002,North West,380553,640919,420825,322435,334055,333316,279229,253148,363273
E12000003,Yorkshire and The Humber,274616,443420,299202,221639,272062,238476,202822,206534,288958
E12000004,East Midlands,271117,395816,268958,205672,245546,214408,172944,201191,284947
E12000005,West Midlands,303334,482693,309375,246661,282722,251057,204700,225221,321153
E12000006,East of England,412890,590613,400102,296423,322593,273549,211650,208715,298371
E12000007,London,633506,1120403,666529,369473,327324,334680,275096,218831,400511
E12000008,South East,662899,943191,630396,415384,445737,404180,302502,247314,390724
E12000009,South West,342331,511299,339366,248234,324769,265375,200685,172980,267584
W92000004,Wales,143179,248643,160385,127792,166229,152268,113684,107240,142890
